Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40146740,08/30/2018 05:56:09 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11213,,,UTICA AVENUE,EASTERN PARKWAY,UTICA AVENUE,EASTERN PARKWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,08 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40460435,10/04/2018 03:08:36 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
41995523,03/19/2019 03:01:39 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40285598,09/14/2018 03:34:37 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,10458,,,EAST FORDHAM ROAD,MARION AVENUE,EAST FORDHAM ROAD,MARION AVENUE,INTERSECTION,BRONX,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,,,,,,
41031661,11/25/2018 01:51:22 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,10017,,,WEST   43 STREET,5 AVENUE,WEST   43 STREET,5 AVENUE,INTERSECTION,NEW YORK,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
39483465,06/16/2018 01:38:12 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
42248380,04/17/2019 01:56:06 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,11228,,,86 STREET,14 AVENUE,86 STREET,14 AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,10 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
42157452,04/07/2019 05:15:39 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
43047324,06/21/2019 05:24:43 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11691,,,BEACH   44 STREET,EDGEMERE AVENUE,BEACH   44 STREET,EDGEMERE AVENUE,INTERSECTION,FAR ROCKAWAY,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,06/21/2019 09:17:11 PM,14 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
39701774,07/11/2018 06:05:22 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11234,,,AVENUE V,EAST   38 STREET,AVENUE V,EAST   38 STREET,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,07/11/2018 08:02:00 PM,18 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40135216,08/29/2018 03:52:27 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
42717595,05/19/2019 01:15:30 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,10003,,,EAST   14 STREET,4 AVENUE,EAST   14 STREET,4 AVENUE,INTERSECTION,NEW YORK,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
43098420,06/25/2019 06:21:15 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,11201,,,WASHINGTON STREET,WATER STREET,WASHINGTON STREET,WATER STREET,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,02 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
26303203,09/12/2013 04:24:42 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,,,,,,HARDING EXPRESSWAY,MARTHON PARKWAY,,,,N/A,Open,10/12/2013 04:24:42 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
40257368,09/12/2018 02:12:58 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,,WEST   73 STREET,WEST   73 STREET,BROADWAY,,BROADWAY,,ADDRESS,,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,
39955901,08/08/2018 04:13:55 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,,GRAHAM AVENUE,GRAHAM AVENUE,BROADWAY,,BROADWAY,,ADDRESS,,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,
41299081,12/29/2018 12:10:57 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,,LIBERTY AVENUE,LIBERTY AVENUE,GRANT AVENUE,,GRANT AVENUE,,ADDRESS,,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,
28169516,06/02/2014 11:37:56 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Residence,,245-35A 77 CRESCENT,77 CRESCENT,,,,,ADDRESS,,,N/A,Open,07/02/2014 11:37:56 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
30186061,03/16/2015 08:03:49 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,,,,,,BROADWAY,GREENE AVE,INTERSECTION,,,N/A,Assigned,04/15/2015 08:03:49 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/29/2017 01:04:15 PM,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
30844806,06/14/2015 12:30:43 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,,LINCOLN ROAD,LINCOLN ROAD,FLATBUSH AVE.,,,,ADDRESS,,,N/A,Assigned,07/14/2015 12:30:43 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/29/2017 01:04:15 PM,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
30886659,06/19/2015 08:59:08 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,,,,,,LINCOLN ROAD,FLATBUSH AVENUE,INTERSECTION,,,N/A,Assigned,07/19/2015 08:59:08 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/29/2017 01:04:14 PM,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
31307088,08/13/2015 01:35:24 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,,ARTHUR AVENUE,ARTHUR AVENUE,EAST TREMONT AVENUE,,,,ADDRESS,,,N/A,Open,09/12/2015 01:35:24 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,
31403238,08/27/2015 03:46:09 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,,,,,,GRANT AVE,LIBERTY AVE,INTERSECTION,,,N/A,Open,09/26/2015 03:46:09 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
32631779,02/08/2016 06:47:45 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,,WILLETS POINT BOULEVARD,WILLETS POINT BOULEVARD,PARSONS BOULEVARD,,,,ADDRESS,,,N/A,Open,03/09/2016 06:47:45 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
